,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_317,,,,,,X,,,,
doc_318,,,,X,,X,,,,
doc_319,,,,X,,,,X,,
doc_320,,,,,,X,,,,
doc_321,,,,,,X,,,,
doc_322,,,,,,,,X,,
doc_323,,,,X,,X,,,,
doc_324,,,,X,,X,,,,
doc_325,,,,,,X,,X,,
doc_326,,,,,,X,,,,
doc_327,,,,,,X,,,,
doc_328,,,,,,X,,,,
doc_329,,,,,,X,,,,
doc_330,,,,,,X,,,,
doc_331,,,,,,X,,,,
doc_332,,,,,,X,,,,
doc_333,,,,,,X,,,,
doc_334,,,,,,X,,X,X,
doc_335,,,,X,,,,,,
doc_336,,,,X,,X,,,,
doc_337,,,,X,,,,,,
doc_338,,,,,,X,,,,
doc_339,,,,,,X,,,,
doc_340,,,,,,X,,X,,
doc_341,,,,,,X,,,,
doc_342,,,,X,,X,,,,
doc_343,X,,,X,,X,,,,
doc_344,X,,,X,,X,,,,
doc_345,,,,,,,,X,,
doc_346,,,,X,,,,X,,
doc_347,X,,,,,X,,X,,
doc_348,,,,,,,,X,,
doc_349,,,,,,X,,,,
doc_350,,,,,,X,,,,
doc_351,,,,,,X,,,,
doc_352,,X,,,,X,,,,
doc_353,,,,,,X,,,,
doc_354,,,,X,,X,,,,
doc_355,,,,X,,,,,,
doc_356,,,,X,,,,X,,
doc_357,,,,,,,,X,,
doc_358,,,,,,X,,,,
doc_359,,,,,,X,,,,
doc_360,,,,,,X,,,,
doc_361,,,,X,,X,,,,
doc_362,X,,,,,X,,,,
doc_363,,,,,,X,,X,X,
doc_364,,,,X,,X,,X,,
doc_365,,,,X,,,,X,,
doc_366,,,,X,,,,,X,
doc_367,,,,,,,,X,,
doc_368,,,,,,,,X,,
doc_369,,,,,,X,,,,
doc_370,,,,X,,,,,,
doc_371,,,,,,,,X,,
doc_372,,,,,,X,,,,
doc_373,,,,X,,,,X,,
doc_374,,,,X,,,,,,
doc_375,,,,,,X,,,,
doc_376,,,,,,X,,,,
doc_377,,,,X,,X,,,,
doc_378,,,,,,X,,,,
doc_379,,,,X,,X,,,,
doc_380,X,X,X,X,X,X,X,X,X,X
doc_381,,,,X,,,,X,,
doc_382,,,,X,,,,X,,
doc_383,,,,,,,,X,,
doc_384,,,,,,X,,,,
doc_385,,,,X,,X,,,,
doc_386,,,,,,,,X,,
doc_387,,,,,,,,X,,
doc_388,,,,,,X,,,,
doc_389,,,,X,,,,,,
doc_390,,,,X,,,,,,
doc_391,,,,X,,X,,,,
doc_392,,,,X,X,,,,,
doc_393,,,,X,,,,X,,
doc_394,,,,,,X,,,,
doc_395,,,,,,X,,,,
doc_396,,,,X,,,,X,,
doc_397,,,,,,X,,,,
doc_398,,,,X,,X,,,,
doc_399,,,,X,,,,,,
doc_400,,,,X,,,,X,,
doc_401,,,,X,,,,X,,
doc_402,,,,,,X,,,,
doc_403,,,,X,,X,,,,
doc_404,,,,X,,,,,,
doc_405,,,,X,,X,,,,
doc_406,,,,X,,,,,,
doc_407,,,,X,,X,,,,
doc_408,,,,X,,,,X,,
doc_409,,,,X,,,,,,
doc_410,,,,X,,X,,,X,
doc_411,X,,,X,,,,,,
doc_412,,,,,,X,,,,
doc_413,,,,X,,X,,,X,
doc_414,,,,X,,,,X,X,
doc_415,,,,X,X,,,,,
doc_416,,,,X,,X,,,,
doc_417,,,,X,,,,X,,
doc_418,,,,X,,,,,,
doc_419,,,,X,,X,,,,
doc_420,,,,X,,X,,,,
doc_421,,,,,,X,,,,
doc_422,X,,,X,,X,,,,
doc_423,X,,,X,,X,,,,
doc_424,,,,X,,,,,,
doc_425,,,,X,,X,,,,
doc_426,,,,,,X,,X,,
doc_427,X,X,X,X,X,X,X,X,X,X
doc_428,,,,,,X,,X,,
doc_429,,,,X,,X,,,,
doc_430,,,,,,X,,,,
doc_431,,,,,,X,,X,,
doc_432,,,,,,X,,,,
doc_433,,,,X,,X,,,,
doc_434,,,,X,,X,,,,
doc_435,,,,X,,,,,,
doc_436,,,,X,,X,,X,,
doc_437,,,,,,X,,X,,
doc_438,,,,X,,X,,,,
doc_439,,,,X,,X,,,,
doc_440,,,,X,,,,,,
doc_441,,,,X,,X,,,,
doc_442,,,,,,X,,,,
doc_443,,,,X,,,,,,
doc_444,,,,X,,,,,,
doc_445,,,,,,X,,,,
doc_446,,,,,,,,X,,
doc_447,,,,,,X,,X,,
doc_448,,,,,,X,,,,
doc_449,,,,,,X,X,,,
doc_450,,,,X,,,,X,,
doc_451,,,,,,X,,X,,
doc_452,,,,X,,,,,,
doc_453,X,,,X,,,,X,,
doc_454,,,,,,,,X,,
doc_455,,,,,,X,,,,
doc_456,,,,,,X,,X,,
doc_457,,,,,,,,X,,
doc_458,,,,,,,,X,,
doc_459,,,,,,,,X,,
doc_460,,,,X,,X,,,,
doc_461,,,,X,,,,,,
doc_462,,,,X,,,,X,,
doc_463,,,,,,X,,,X,
doc_464,,,,,,X,,,,
doc_465,,,,X,,,,,,
doc_466,,,,,,X,,,,
doc_467,,,,,,X,,,,
doc_468,X,,,,,X,,X,,
doc_469,,,,X,,X,,,,
doc_470,,,,X,,X,,,,
doc_471,,,,,,X,,,,
doc_472,,,,,,X,,X,,
doc_473,,,,,,X,,,,
doc_474,,,,,,X,,,,
doc_475,,,,,,X,,,,
doc_476,,,,,,X,,,,
doc_477,,,,,,X,,,,
